name,description,formula,csf_function,priority_rank,direction,target_value,target_units,owner_function,data_source,collection_frequency,current_value,notes,csf_category_code,csf_subcategory_code,csf_category_name,csf_subcategory_outcome
Board Cyber Briefing Frequency,Number of cybersecurity briefings provided to board of directors per year,Count of board presentations with cybersecurity risk content,gv,1,higher_is_better,4.0,per year,CISO,Executive calendar and meeting minutes,quarterly,4.0,Executive oversight engagement,GV.OC,GV.OC-05,Organizational Context,"Outcomes, roles, and responsibilities for cybersecurity risk management are established, communicated, and enforced"
Policy Compliance Rate,Percentage of organizational units meeting cybersecurity policy requirements,Compliant units / Total units * 100,gv,1,higher_is_better,95.0,%,GRC,Policy management system,monthly,87.3,Department policy adherence,GV.PO,GV.PO-01,Policy,"Policy for cybersecurity is established based on organizational context, cybersecurity strategy, and priorities and is communicated throughout the organization"
Cybersecurity Budget Allocation,Percentage of IT budget allocated to cybersecurity,Cybersecurity budget / Total IT budget * 100,gv,1,higher_is_better,8.0,%,CISO,Budget tracking system,quarterly,6.2,Industry benchmark 8-12%,GV.OC,GV.OC-02,Organizational Context,The organizational structure and resource allocation for cybersecurity are understood
CISO Direct Reporting to Executive Level,Executive level of CISO reporting relationship,Boolean check if CISO reports to CEO/COO level,gv,1,binary,1.0,boolean,CISO,Organizational chart,quarterly,1.0,C-level reporting structure,,,,
Cybersecurity Strategy Document Currency,Age of current cybersecurity strategy document,Months since last strategy update,gv,1,lower_is_better,12.0,months,CISO,Strategy documentation system,quarterly,8.0,Annual strategy refresh,,,,
Risk Assessment Frequency,Number of formal risk assessments conducted per year,Count of completed risk assessments,gv,2,higher_is_better,2.0,per year,GRC,Risk management system,quarterly,2.0,Semi-annual comprehensive reviews,GV.RM,GV.RM-01,Risk Management Strategy,"Cybersecurity risk management strategy is established, communicated, and enforced throughout the organization"
Security Training Completion Rate,Percentage of employees completing mandatory security training,Trained employees / Total employees * 100,gv,2,higher_is_better,95.0,%,HR/Training,Learning management system,monthly,92.1,Annual mandatory training,PR.AT,PR.AT-01,Awareness and Training,"Personnel are trained to perform their cybersecurity-related duties and responsibilities consistent with organizational policies, standards, and procedures"
Incident Response Plan Testing,Frequency of incident response plan testing and updates,Count of IR plan tests/exercises per year,gv,2,higher_is_better,2.0,per year,IR Team,Incident management system,quarterly,1.0,Tabletop and technical exercises,RS.RP,RS.RP-01,Response Planning,"A response plan that addresses roles, responsibilities, and communication protocols during and after an incident is developed and implemented"
Third-Party Risk Assessments,Percentage of critical vendors with current security assessments,Assessed vendors / Critical vendors * 100,gv,2,higher_is_better,90.0,%,Vendor Mgmt,Vendor risk management system,quarterly,78.4,Annual vendor reviews,GV.SC,GV.SC-04,Supply Chain Risk Management,Suppliers are evaluated and selected based on their security posture and ability to meet contractual cybersecurity requirements
Cybersecurity Governance Committee Meeting Frequency,Number of security governance committee meetings per quarter,Count of governance meetings per quarter,gv,2,higher_is_better,3.0,per quarter,CISO,Meeting management system,quarterly,2.0,Monthly governance meetings,GV.PO,GV.PO-01,Policy,"Policy for cybersecurity is established based on organizational context, cybersecurity strategy, and priorities and is communicated throughout the organization"
Risk Tolerance Statement Currency,Months since risk tolerance statement was updated,Months since last risk tolerance update,gv,2,lower_is_better,24.0,months,GRC,Risk management system,quarterly,18.0,Biennial review cycle,GV.RM,GV.RM-01,Risk Management Strategy,"Cybersecurity risk management strategy is established, communicated, and enforced throughout the organization"
Cybersecurity Maturity Assessment Score,Overall cybersecurity maturity score based on framework assessment,Weighted average of capability maturity scores,gv,2,higher_is_better,3.0,maturity level,GRC,Maturity assessment framework,quarterly,2.7,5-point maturity scale,GV.RM,GV.RM-01,Risk Management Strategy,"Cybersecurity risk management strategy is established, communicated, and enforced throughout the organization"
Security Investment ROI Measurement,Percentage of security investments with defined ROI metrics,Investments with ROI metrics / Total investments * 100,gv,2,higher_is_better,80.0,%,CISO,Investment tracking system,quarterly,65.2,Business case documentation,,,,
Executive Security Training Completion,Percentage of executives completing security awareness training,Trained executives / Total executives * 100,gv,2,higher_is_better,100.0,%,HR/Training,Learning management system,quarterly,88.9,C-level and VP training,,,,
Regulatory Compliance Assessment Score,Overall compliance score across applicable regulations,Weighted compliance score across all regulations,gv,1,higher_is_better,95.0,%,GRC,Compliance management system,quarterly,89.3,"SOX, GDPR, HIPAA, etc.",GV.PO,GV.PO-01,Policy,"Policy for cybersecurity is established based on organizational context, cybersecurity strategy, and priorities and is communicated throughout the organization"
Data Protection Officer Appointment,Whether a qualified DPO is appointed and active,Boolean check for active DPO appointment,gv,2,binary,1.0,boolean,GRC,HR system,quarterly,1.0,GDPR and privacy compliance,,,,
Cybersecurity Policy Review Cycle,Average age of cybersecurity policies since last review,Average months since policy review,gv,2,lower_is_better,12.0,months,GRC,Policy management system,quarterly,9.2,Annual policy review cycle,GV.PO,GV.PO-01,Policy,"Policy for cybersecurity is established based on organizational context, cybersecurity strategy, and priorities and is communicated throughout the organization"
Security Architecture Review Board Effectiveness,Percentage of architecture decisions reviewed by security board,Reviewed decisions / Total architecture decisions * 100,gv,2,higher_is_better,90.0,%,Security Architecture,Architecture review system,monthly,82.1,Design review process,GV.OV,GV.OV-01,Oversight,Cybersecurity risk management strategy outcomes are reviewed to inform and adjust strategy and direction
Cybersecurity Insurance Coverage Assessment,Percentage of identified cyber risks covered by insurance,Covered risks / Identified risks * 100,gv,3,higher_is_better,75.0,%,Risk Mgmt,Insurance policy documentation,quarterly,68.4,Cyber liability coverage,GV.RM,GV.RM-01,Risk Management Strategy,"Cybersecurity risk management strategy is established, communicated, and enforced throughout the organization"
Security Metrics Dashboard Currency,Days since security metrics dashboard was last updated,Days since last dashboard update,gv,3,lower_is_better,7.0,days,SecOps,Dashboard monitoring system,weekly,3.0,Weekly dashboard refresh,GV.OV,GV.OV-01,Oversight,Cybersecurity risk management strategy outcomes are reviewed to inform and adjust strategy and direction
Vendor Security Onboarding Time,Average days to complete security onboarding for new vendors,Sum of onboarding days / Number of new vendors,gv,3,lower_is_better,30.0,days,Vendor Mgmt,Vendor management system,monthly,42.1,Security assessment process,GV.SC,GV.SC-04,Supply Chain Risk Management,Suppliers are evaluated and selected based on their security posture and ability to meet contractual cybersecurity requirements
Business Continuity Governance Integration,Percentage of BC plans incorporating cybersecurity considerations,BC plans with cyber considerations / Total BC plans * 100,gv,3,higher_is_better,85.0,%,BCP,Business continuity system,quarterly,71.2,Cyber-resilience planning,GV.PO,GV.PO-01,Policy,"Policy for cybersecurity is established based on organizational context, cybersecurity strategy, and priorities and is communicated throughout the organization"
Security Awareness Campaign Effectiveness,Percentage improvement in security behavior metrics,Post-campaign improvement in behavior metrics,gv,3,higher_is_better,20.0,%,HR/Training,Behavior tracking system,quarterly,15.3,Phishing simulation improvements,,,,
Insider Threat Program Maturity,Maturity score of insider threat detection and response program,Weighted score across insider threat capabilities,gv,3,higher_is_better,3.0,maturity level,HR/Security,Insider threat platform,quarterly,2.4,5-point maturity scale,,,,
Security Budget Variance,Percentage variance between planned and actual security spending,Actual spend variance from budget * 100,gv,3,lower_is_better,10.0,%,CISO,Financial tracking system,monthly,7.8,Budget control metric,GV.OC,GV.OC-02,Organizational Context,The organizational structure and resource allocation for cybersecurity are understood
Third-Party Security Incident Notification Time,Average hours to receive security incident notifications from vendors,Sum notification times / Number of vendor incidents,gv,3,lower_is_better,4.0,hours,Vendor Mgmt,Incident tracking system,monthly,6.2,Vendor SLA requirement,GV.SC,GV.SC-04,Supply Chain Risk Management,Suppliers are evaluated and selected based on their security posture and ability to meet contractual cybersecurity requirements
Cybersecurity Legal Review Integration,Percentage of security policies reviewed by legal counsel,Legally reviewed policies / Total security policies * 100,gv,3,higher_is_better,100.0,%,Legal,Policy management system,quarterly,94.7,Legal compliance validation,GV.OV,GV.OV-01,Oversight,Cybersecurity risk management strategy outcomes are reviewed to inform and adjust strategy and direction
Security Culture Assessment Score,Employee security culture survey score,Average score from security culture survey,gv,2,higher_is_better,4.0,survey score,HR/Training,Survey platform,quarterly,3.6,5-point scale survey,GV.RM,GV.RM-01,Risk Management Strategy,"Cybersecurity risk management strategy is established, communicated, and enforced throughout the organization"
Business Risk Integration Score,Percentage of business risks with cybersecurity impact assessment,Business risks with cyber assessment / Total business risks * 100,gv,2,higher_is_better,90.0,%,GRC,Enterprise risk system,quarterly,76.3,Business-cyber risk linkage,GV.RM,GV.RM-01,Risk Management Strategy,"Cybersecurity risk management strategy is established, communicated, and enforced throughout the organization"
Security ROI Demonstration,Number of security investments with quantified business value,Count of investments with demonstrated ROI,gv,2,higher_is_better,5.0,per year,CISO,Investment tracking system,quarterly,3.0,Business value demonstration,,,,
Regulatory Change Management,Days to assess and implement new regulatory requirements,Average days from regulation change to compliance,gv,2,lower_is_better,90.0,days,GRC,Regulatory tracking system,monthly,73.2,Compliance change process,GV.RM,GV.RM-01,Risk Management Strategy,"Cybersecurity risk management strategy is established, communicated, and enforced throughout the organization"
Security Governance Documentation Currency,Percentage of governance documents updated within required timeframe,Current documents / Total governance documents * 100,gv,3,higher_is_better,90.0,%,GRC,Document management system,monthly,84.1,Documentation lifecycle management,GV.PO,GV.PO-01,Policy,"Policy for cybersecurity is established based on organizational context, cybersecurity strategy, and priorities and is communicated throughout the organization"
Executive Cyber Risk Reporting Quality,Quality score of cyber risk reports to executives,Weighted score of report completeness and clarity,gv,1,higher_is_better,4.0,quality score,CISO,Report quality assessment,monthly,3.7,5-point quality scale,GV.RM,GV.RM-01,Risk Management Strategy,"Cybersecurity risk management strategy is established, communicated, and enforced throughout the organization"
Crisis Communication Plan Testing,Frequency of crisis communication plan testing,Number of communication plan tests per year,gv,2,higher_is_better,2.0,per year,Communications,Crisis management system,quarterly,1.0,Communication readiness,,,,
Security Investment Portfolio Balance,Percentage of security budget allocated to preventive controls,Preventive spending / Total security spending * 100,gv,2,higher_is_better,60.0,%,CISO,Budget tracking system,quarterly,52.7,Prevention vs detection balance,GV.OC,GV.OC-02,Organizational Context,The organizational structure and resource allocation for cybersecurity are understood
Cybersecurity Skills Gap Assessment,Percentage of critical security roles with identified skills gaps,Roles with gaps / Total critical roles * 100,gv,3,lower_is_better,20.0,%,HR/Training,Skills assessment system,quarterly,28.4,Workforce planning metric,GV.RM,GV.RM-01,Risk Management Strategy,"Cybersecurity risk management strategy is established, communicated, and enforced throughout the organization"
Asset Inventory Accuracy,Percentage of IT assets accurately inventoried and classified,Known assets / Discovered assets * 100,id,1,higher_is_better,99.0,%,ITAM,Asset management system,weekly,96.7,Hardware and software assets,ID.AM,ID.AM-01,Asset Management,Physical devices and systems are inventoried within the organization
Vulnerability Scan Coverage,Percentage of assets covered by regular vulnerability scanning,Scanned assets / Total assets * 100,id,1,higher_is_better,100.0,%,SecOps,Vulnerability scanner,weekly,98.2,Weekly automated scans,ID.RA,ID.RA-03,Risk Assessment,Internal and external vulnerabilities are identified and characterized
Critical Vulnerability MTTF (Mean Time to Fix),Average time to remediate critical vulnerabilities,Sum of remediation times / Number of critical vulns,id,1,lower_is_better,7.0,days,IT Ops,Vulnerability management system,monthly,12.3,SLA target 7 days,ID.RA,ID.RA-03,Risk Assessment,Internal and external vulnerabilities are identified and characterized
Software Asset Inventory Accuracy,Percentage of software assets accurately inventoried,Known software / Discovered software * 100,id,1,higher_is_better,95.0,%,ITAM,Software asset management,weekly,91.4,Licensed and unlicensed software,ID.AM,ID.AM-01,Asset Management,Physical devices and systems are inventoried within the organization
Cloud Asset Visibility,Percentage of cloud resources with active monitoring and inventory,Monitored cloud assets / Total cloud assets * 100,id,1,higher_is_better,98.0,%,Cloud Security,Cloud management platform,daily,94.6,Multi-cloud visibility,ID.AM,ID.AM-01,Asset Management,Physical devices and systems are inventoried within the organization
Network Mapping Completeness,Percentage of network infrastructure documented and mapped,Documented network elements / Total elements * 100,id,2,higher_is_better,95.0,%,Network Ops,Network discovery tools,monthly,89.1,Network topology accuracy,,,,
Data Classification Completeness,Percentage of data assets properly classified by sensitivity,Classified data assets / Total data assets * 100,id,2,higher_is_better,90.0,%,Data Governance,Data classification tools,monthly,74.2,Sensitivity labeling program,ID.AM,ID.AM-01,Asset Management,Physical devices and systems are inventoried within the organization
External Attack Surface Discovery,Number of externally facing assets discovered vs known,Discovered external assets / Known external assets,id,2,higher_is_better,1.0,ratio,SecOps,External attack surface tools,weekly,1.12,Should be close to 1.0,ID.AM,ID.AM-01,Asset Management,Physical devices and systems are inventoried within the organization
Business Impact Analysis Coverage,Percentage of business processes with completed BIA,Analyzed processes / Critical processes * 100,id,3,higher_is_better,80.0,%,BCP,Business continuity system,quarterly,65.0,Recovery priority analysis,,,,
Third-Party Risk Assessment Currency,Percentage of vendors with current risk assessments,Current assessments / Total critical vendors * 100,id,2,higher_is_better,90.0,%,Vendor Mgmt,Third-party risk platform,quarterly,83.2,Annual vendor reviews,ID.RA,ID.RA-03,Risk Assessment,Internal and external vulnerabilities are identified and characterized
Data Flow Mapping Completeness,Percentage of critical data flows documented and mapped,Mapped data flows / Critical data flows * 100,id,2,higher_is_better,85.0,%,Data Governance,Data mapping tools,quarterly,72.8,Data lineage documentation,,,,
Hardware Asset Lifecycle Management,Percentage of hardware assets within supported lifecycle,Supported assets / Total hardware assets * 100,id,2,higher_is_better,95.0,%,ITAM,Asset management system,monthly,88.9,End-of-life tracking,ID.AM,ID.AM-01,Asset Management,Physical devices and systems are inventoried within the organization
Mobile Device Inventory Coverage,Percentage of mobile devices enrolled in management system,Managed devices / Total mobile devices * 100,id,2,higher_is_better,95.0,%,Mobile Security,Mobile device management,weekly,89.7,BYOD and corporate devices,ID.AM,ID.AM-01,Asset Management,Physical devices and systems are inventoried within the organization
IoT Device Discovery Rate,Percentage of IoT devices discovered and cataloged,Discovered IoT devices / Estimated IoT devices * 100,id,2,higher_is_better,80.0,%,Network Security,IoT discovery tools,weekly,67.3,Connected device management,,,,
Digital Certificate Inventory,Percentage of digital certificates tracked in inventory,Tracked certificates / Total certificates * 100,id,2,higher_is_better,95.0,%,PKI Management,Certificate management system,monthly,87.6,Certificate lifecycle tracking,ID.AM,ID.AM-01,Asset Management,Physical devices and systems are inventoried within the organization
DNS Asset Discovery,Percentage of DNS records mapped to known assets,Mapped DNS records / Total DNS records * 100,id,3,higher_is_better,90.0,%,Network Ops,DNS management system,weekly,81.4,Domain and subdomain tracking,ID.AM,ID.AM-01,Asset Management,Physical devices and systems are inventoried within the organization
Database Asset Classification,Percentage of databases classified by sensitivity level,Classified databases / Total databases * 100,id,2,higher_is_better,100.0,%,Data Security,Database discovery tools,monthly,92.3,Database sensitivity levels,ID.AM,ID.AM-01,Asset Management,Physical devices and systems are inventoried within the organization
Application Portfolio Completeness,Percentage of applications documented in portfolio,Documented apps / Total applications * 100,id,2,higher_is_better,95.0,%,App Security,Application portfolio system,monthly,86.1,Application inventory accuracy,,,,
Vendor Security Rating Timeliness,Percentage of vendors with current security ratings,Current ratings / Total vendors * 100,id,3,higher_is_better,85.0,%,Vendor Mgmt,Vendor risk platform,monthly,78.9,Quarterly rating updates,,,,
Shadow IT Discovery Rate,Percentage of unauthorized IT assets discovered monthly,Discovered shadow IT / Estimated shadow IT * 100,id,2,higher_is_better,75.0,%,SecOps,Shadow IT detection tools,monthly,68.2,Unauthorized asset identification,ID.AM,ID.AM-01,Asset Management,Physical devices and systems are inventoried within the organization
Physical Asset Security Classification,Percentage of physical assets classified by security level,Classified physical assets / Total physical assets * 100,id,3,higher_is_better,90.0,%,Physical Security,Asset management system,quarterly,82.7,Physical security zoning,ID.AM,ID.AM-01,Asset Management,Physical devices and systems are inventoried within the organization
Threat Intelligence Asset Context,Percentage of assets with threat intelligence context,Assets with TI context / Total assets * 100,id,3,higher_is_better,60.0,%,SecOps,Threat intelligence platform,weekly,47.3,Asset-specific threat context,ID.AM,ID.AM-01,Asset Management,Physical devices and systems are inventoried within the organization
Business Process Risk Assessment Coverage,Percentage of business processes with completed risk assessments,Assessed processes / Total critical processes * 100,id,2,higher_is_better,90.0,%,GRC,Business process system,quarterly,76.5,Process-level risk analysis,ID.RA,ID.RA-03,Risk Assessment,Internal and external vulnerabilities are identified and characterized
Supply Chain Visibility Score,Percentage visibility into critical supplier security practices,Suppliers with security visibility / Critical suppliers * 100,id,2,higher_is_better,80.0,%,Vendor Mgmt,Supply chain platform,quarterly,69.1,Supply chain transparency,,,,
Data Residency Mapping,Percentage of data with documented geographic location,Data with location info / Total sensitive data * 100,id,2,higher_is_better,95.0,%,Data Governance,Data residency tracking,monthly,84.3,Regulatory compliance support,,,,
API Inventory Completeness,Percentage of APIs documented in inventory,Documented APIs / Total APIs * 100,id,2,higher_is_better,90.0,%,App Security,API management platform,weekly,79.8,API discovery and cataloging,ID.AM,ID.AM-01,Asset Management,Physical devices and systems are inventoried within the organization
Vulnerability Age Distribution,Percentage of vulnerabilities older than 30 days,Vulnerabilities >30 days / Total vulnerabilities * 100,id,2,lower_is_better,25.0,%,SecOps,Vulnerability management system,weekly,32.1,Vulnerability aging analysis,ID.RA,ID.RA-03,Risk Assessment,Internal and external vulnerabilities are identified and characterized
Network Segmentation Discovery,Percentage of network segments properly documented,Documented segments / Total segments * 100,id,2,higher_is_better,95.0,%,Network Security,Network discovery tools,monthly,88.4,Segmentation visibility,,,,
Identity Provider Integration Coverage,Percentage of applications integrated with central identity provider,Integrated apps / Total apps * 100,id,3,higher_is_better,85.0,%,IAM,Identity management system,monthly,73.6,Single sign-on coverage,,,,
External Dependencies Documentation,Percentage of external dependencies documented,Documented dependencies / Total dependencies * 100,id,3,higher_is_better,80.0,%,Architecture,Dependency tracking system,quarterly,71.2,Third-party service mapping,,,,
Configuration Management Database Currency,Percentage of CMDB records updated within SLA,Current CMDB records / Total CMDB records * 100,id,2,higher_is_better,95.0,%,ITAM,Configuration management system,weekly,89.7,Asset configuration tracking,,,,
Backup Asset Coverage,Percentage of critical assets included in backup inventory,Assets in backup scope / Critical assets * 100,id,3,higher_is_better,100.0,%,Backup Admin,Backup management system,weekly,96.2,Backup scope verification,ID.AM,ID.AM-01,Asset Management,Physical devices and systems are inventoried within the organization
Intellectual Property Asset Classification,Percentage of IP assets classified by value and sensitivity,Classified IP assets / Total IP assets * 100,id,2,higher_is_better,90.0,%,Legal,IP management system,quarterly,81.5,Intellectual property protection,ID.AM,ID.AM-01,Asset Management,Physical devices and systems are inventoried within the organization
Remote Access Asset Inventory,Percentage of remote access points documented,Documented access points / Total access points * 100,id,2,higher_is_better,100.0,%,Network Security,Remote access management,weekly,93.4,VPN and remote access tracking,ID.AM,ID.AM-01,Asset Management,Physical devices and systems are inventoried within the organization
Container and Microservice Discovery,Percentage of containers and microservices in inventory,Inventoried containers / Total containers * 100,id,2,higher_is_better,85.0,%,Cloud Security,Container management platform,daily,77.9,Dynamic workload tracking,ID.AM,ID.AM-01,Asset Management,Physical devices and systems are inventoried within the organization
